algorithm,purity,macro_f1,weighted_f1,accuracy,homogeneity,completeness,v_measure,nmi,ami,ari,fowlkes_mallows,bcubed_precision,bcubed_recall,bcubed_f1,divergence,runtime,params,method,dataset
iris_menu_cfg9,0.65,0.6446886446886447,0.634065934065934,0.65,0.4308447607977409,0.4336806654745192,0.43225806182392373,0.4322580618239238,0.3608641988499064,0.2892768079800499,0.5043668951391246,0.5666666666666667,0.6000000000000001,0.5828571428571429,0.36500000000000005,0.6316876411437988,"{'random_state': 42, 'n_estimators': 45, 'max_depth': 6}",menu,iris
iris_select_clusters_cfg10,0.8,0.6199430199430199,0.610940170940171,0.6,0.6205631738651606,0.4885216093532874,0.546682318591114,0.546682318591114,0.4309538082524227,0.3403693931398417,0.5216478327053429,0.7166666666666666,0.5714285714285714,0.6358595194085027,0.47,0.63106369972229,"{'random_state': 42, 'n_estimators': 50, 'max_depth': 8}",select_clusters,iris
iris_balance_lists_n_clusters_cfg10,0.65,0.5952380952380952,0.5821428571428571,0.6,0.42320622571530636,0.42929260278115833,0.42622768754049417,0.42622768754049417,0.35343055880033636,0.2803970223325062,0.5000743328629693,0.5585714285714286,0.6000000000000001,0.5785450061652281,0.36,1.0466344356536865,"{'random_state': 42, 'n_estimators': 50, 'max_depth': 8}",balance_lists_n_clusters,iris
iris_max_prob_clusters_cfg10,0.65,0.5857142857142857,0.5721428571428572,0.6,0.42563392209435297,0.4617157039445305,0.44294122676252545,0.44294122676252545,0.3678331474660834,0.30787589498806683,0.5339973609121261,0.5611111111111111,0.6571428571428573,0.605342019543974,0.36250000000000004,0.8388080596923828,"{'random_state': 42, 'n_estimators': 50, 'max_depth': 8}",max_prob_clusters,iris
iris_match_class_distribution_cfg10,0.65,0.6453102453102453,0.6347186147186148,0.65,0.4392133192527084,0.4563448344822191,0.447615218823832,0.44761521882383193,0.3757431022115556,0.30317848410757947,0.521468910445679,0.575,0.6285714285714286,0.6005934718100889,0.38,0.5719377994537354,"{'random_state': 42, 'n_estimators': 50, 'max_depth': 8}",match_class_distribution,iris
iris_chimera_cfg10,0.65,0.6446886446886447,0.634065934065934,0.65,0.4308447607977409,0.4336806654745192,0.43225806182392373,0.4322580618239238,0.3608641988499064,0.2892768079800499,0.5043668951391246,0.5666666666666667,0.6000000000000001,0.5828571428571429,0.36500000000000005,0.6629238128662109,"{'random_state': 42, 'n_estimators': 50, 'max_depth': 8}",chimera,iris
iris_menu_cfg10,0.65,0.6446886446886447,0.634065934065934,0.65,0.4308447607977409,0.4336806654745192,0.43225806182392373,0.4322580618239238,0.3608641988499064,0.2892768079800499,0.5043668951391246,0.5666666666666667,0.6000000000000001,0.5828571428571429,0.36500000000000005,0.6434838771820068,"{'random_state': 42, 'n_estimators': 50, 'max_depth': 8}",menu,iris
iris_select_clusters_cfg11,0.8,0.6199430199430199,0.610940170940171,0.6,0.6205631738651606,0.4885216093532874,0.546682318591114,0.546682318591114,0.4309538082524227,0.3403693931398417,0.5216478327053429,0.7166666666666666,0.5714285714285714,0.6358595194085027,0.47,0.6794164180755615,"{'random_state': 42, 'n_estimators': 55, 'max_depth': 10}",select_clusters,iris
iris_balance_lists_n_clusters_cfg11,0.65,0.5952380952380952,0.5821428571428571,0.6,0.42320622571530636,0.42929260278115833,0.42622768754049417,0.42622768754049417,0.35343055880033636,0.2803970223325062,0.5000743328629693,0.5585714285714286,0.6000000000000001,0.5785450061652281,0.36,1.1136760711669922,"{'random_state': 42, 'n_estimators': 55, 'max_depth': 10}",balance_lists_n_clusters,iris
iris_max_prob_clusters_cfg11,0.65,0.5857142857142857,0.5721428571428572,0.6,0.42563392209435297,0.4617157039445305,0.44294122676252545,0.44294122676252545,0.3678331474660834,0.30787589498806683,0.5339973609121261,0.5611111111111111,0.6571428571428573,0.605342019543974,0.36250000000000004,0.9151852130889893,"{'random_state': 42, 'n_estimators': 55, 'max_depth': 10}",max_prob_clusters,iris
iris_match_class_distribution_cfg11,0.65,0.6453102453102453,0.6347186147186148,0.65,0.4392133192527084,0.4563448344822191,0.447615218823832,0.44761521882383193,0.3757431022115556,0.30317848410757947,0.521468910445679,0.575,0.6285714285714286,0.6005934718100889,0.38,0.7037863731384277,"{'random_state': 42, 'n_estimators': 55, 'max_depth': 10}",match_class_distribution,iris
iris_chimera_cfg11,0.65,0.6446886446886447,0.634065934065934,0.65,0.4308447607977409,0.4336806654745192,0.43225806182392373,0.4322580618239238,0.3608641988499064,0.2892768079800499,0.5043668951391246,0.5666666666666667,0.6000000000000001,0.5828571428571429,0.36500000000000005,0.6915886402130127,"{'random_state': 42, 'n_estimators': 55, 'max_depth': 10}",chimera,iris
iris_menu_cfg11,0.65,0.6446886446886447,0.634065934065934,0.65,0.4308447607977409,0.4336806654745192,0.43225806182392373,0.4322580618239238,0.3608641988499064,0.2892768079800499,0.5043668951391246,0.5666666666666667,0.6000000000000001,0.5828571428571429,0.36500000000000005,0.7347655296325684,"{'random_state': 42, 'n_estimators': 55, 'max_depth': 10}",menu,iris
iris_select_clusters_cfg12,0.85,0.6389906389906389,0.6280830280830281,0.6,0.6948226142609581,0.4935566402086891,0.5771462498118113,0.5771462498118113,0.4463077636653944,0.3835616438356164,0.5445100807792043,0.780952380952381,0.5571428571428572,0.6503304524656838,0.5175,0.7194218635559082,"{'random_state': 42, 'n_estimators': 60, 'max_depth': None}",select_clusters,iris
iris_balance_lists_n_clusters_cfg12,0.65,0.652014652014652,0.6384615384615385,0.65,0.46125325799935707,0.46125325799935707,0.46125325799935707,0.46125325799935707,0.3940476786214541,0.3233082706766917,0.5263157894736841,0.5928571428571429,0.6142857142857143,0.6033812341504649,0.39,1.1473617553710938,"{'random_state': 42, 'n_estimators': 60, 'max_depth': None}",balance_lists_n_clusters,iris
iris_max_prob_clusters_cfg12,0.65,0.6372377622377622,0.6229458041958041,0.65,0.4605232346268242,0.48134520333302666,0.4707040624297488,0.4707040624297489,0.40136849956070003,0.34306569343065696,0.5506887917539348,0.5920634920634921,0.6571428571428573,0.6229079687783627,0.39000000000000007,0.9770219326019287,"{'random_state': 42, 'n_estimators': 60, 'max_depth': None}",max_prob_clusters,iris
